Alpha,Mutation_Step_Size_Start,Tau_Scale,Tau_Prime_Scale,Fitness
0.3,0.3,0.7,0.7,9.99998665298365
0.3,0.3,0.7,0.9,9.99998551405259
0.3,0.3,0.7,1.1,9.99997641617903
0.3,0.3,0.7,1.3,9.9999730057162
0.3,0.3,0.9,0.7,9.99997964388953
0.3,0.3,0.9,0.9,9.99995477106073
0.3,0.3,0.9,1.1,9.99989049883319
0.3,0.3,0.9,1.3,9.99990154141102
0.3,0.3,1.1,0.7,9.72249556632984
0.3,0.3,1.1,0.9,9.94904884961866
0.3,0.3,1.1,1.1,9.88098414828138
0.3,0.3,1.1,1.3,9.73046033959477
0.3,0.3,1.3,0.7,9.6607892977413
0.3,0.3,1.3,0.9,9.18587812149519
0.3,0.3,1.3,1.1,8.5412255588243
0.3,0.3,1.3,1.3,8.47226665944932
0.3,0.55,0.7,0.7,9.99998701305135
0.3,0.55,0.7,0.9,9.99998090277474
0.3,0.55,0.7,1.1,9.99998711823442
0.3,0.55,0.7,1.3,9.99998436460023
0.3,0.55,0.9,0.7,9.99998688826028
0.3,0.55,0.9,0.9,9.99996512935852
0.3,0.55,0.9,1.1,9.99994148192413
0.3,0.55,0.9,1.3,9.99996351603781
0.3,0.55,1.1,0.7,9.47395158579701
0.3,0.55,1.1,0.9,9.41031672912633
0.3,0.55,1.1,1.1,9.60553042930714
0.3,0.55,1.1,1.3,9.52689817077725
0.3,0.55,1.3,0.7,8.62637513647001
0.3,0.55,1.3,0.9,9.02135487157175
0.3,0.55,1.3,1.1,8.09122011000544
0.3,0.55,1.3,1.3,8.47345176652419
0.3,0.8,0.7,0.7,9.99999175634229
0.3,0.8,0.7,0.9,9.99999171308117
0.3,0.8,0.7,1.1,9.99998715787507
0.3,0.8,0.7,1.3,9.99998255326337
0.3,0.8,0.9,0.7,9.9999783946871
0.3,0.8,0.9,0.9,9.99996451861286
0.3,0.8,0.9,1.1,9.99996397017323
0.3,0.8,0.9,1.3,9.99967463143505
0.3,0.8,1.1,0.7,9.60106485370291
0.3,0.8,1.1,0.9,9.43760774501239
0.3,0.8,1.1,1.1,9.58072499929047
0.3,0.8,1.1,1.3,9.57939990019963
0.3,0.8,1.3,0.7,9.08801070876073
0.3,0.8,1.3,0.9,9.14878203423927
0.3,0.8,1.3,1.1,8.76465717720395
0.3,0.8,1.3,1.3,7.75010155183265
0.3,1.05,0.7,0.7,9.99998792557336
0.3,1.05,0.7,0.9,9.99998720592859
0.3,1.05,0.7,1.1,9.99998026491449
0.3,1.05,0.7,1.3,9.99997606266316
0.3,1.05,0.9,0.7,9.99998549965153
0.3,1.05,0.9,0.9,9.99997021453213
0.3,1.05,0.9,1.1,9.99994985960828
