p_mutation,sigma_start,Tau_prime_scale,tau_scale,score
0.1,1,0.1,0.1,9.99974551169306
0.1,1,0.1,0.2,9.99922285490958
0.1,1,0.1,0.3,9.99971744824687
0.1,1,0.1,0.4,9.99974094111461
0.1,1,0.1,0.5,9.99963628000847
0.1,1,0.1,0.6,9.9999742524802
0.1,1,0.1,0.7,9.99994822940354
0.1,1,0.1,0.8,9.99973965894322
0.1,1,0.1,0.9,9.99954431099946
0.1,1,0.1,1,9.99974803185599
0.1,1,0.2,0.1,9.75100472089686
0.1,1,0.2,0.2,9.78475720949834
0.1,1,0.2,0.3,9.82518206841578
0.1,1,0.2,0.4,9.86851118262366
0.1,1,0.2,0.5,9.90075767643668
0.1,1,0.2,0.6,9.89290295998049
0.1,1,0.2,0.7,9.94641129251896
0.1,1,0.2,0.8,9.95813832892683
0.1,1,0.2,0.9,9.98017835278231
0.1,1,0.2,1,9.99122692668459
0.1,1,0.3,0.1,9.15157163391205
0.1,1,0.3,0.2,9.28912425434337
0.1,1,0.3,0.3,9.44097500655849
0.1,1,0.3,0.4,9.6259750699432
0.1,1,0.3,0.5,9.74006307017597
0.1,1,0.3,0.6,9.87392666754853
0.1,1,0.3,0.7,9.9457670158627
0.1,1,0.3,0.8,9.97047951629825
0.1,1,0.3,0.9,9.9904320865658
0.1,1,0.3,1,9.99673143738804
0.1,1,0.4,0.1,8.51073422329179
0.1,1,0.4,0.2,8.81758636874792
0.1,1,0.4,0.3,9.25270643064684
0.1,1,0.4,0.4,9.56512719159877
0.1,1,0.4,0.5,9.79380748797315
0.1,1,0.4,0.6,9.91370854874184
0.1,1,0.4,0.7,9.96812964111112
0.1,1,0.4,0.8,9.99561835946528
0.1,1,0.4,0.9,9.99970204318298
0.1,1,0.4,1,9.99998983639439
0.1,1,0.5,0.1,8.04730234446732
0.1,1,0.5,0.2,8.70604476353311
0.1,1,0.5,0.3,9.13768956553598
0.1,1,0.5,0.4,9.65703973052788
0.1,1,0.5,0.5,9.88072002739154
0.1,1,0.5,0.6,9.95985377961151
0.1,1,0.5,0.7,9.99549131655306
0.1,1,0.5,0.8,9.99991223143885
